day,z_f_1,z_f_2,z_f_3,z_f_4,z_f_5,z_f_6,z_f_7,z_f_8
0,0.17359158,-0.08151789,-0.36315477,0.32692987,0.004874192,-0.065800056,-0.03625367,-0.08986368
1,0.14331935,-0.0932415,-0.37946948,0.34615475,0.0781321,-0.060039118,-0.07497783,-0.1088384
2,0.15877056,-0.10540764,-0.39076748,0.31881446,0.027031869,-0.053684577,-0.06038467,-0.08413556
3,0.12940928,-0.124622494,-0.3491638,0.24178101,0.051211096,0.03199836,-0.055577137,-0.0805664
4,0.09579049,-0.0981651,-0.35168117,0.28772616,0.06995401,-0.014794499,-0.109870955,-0.09630699
5,0.1127403,-0.12628439,-0.3593766,0.26142836,0.06971046,0.00532344,-0.105623335,-0.079909444
6,0.094801165,-0.12796727,-0.33104825,0.23433836,0.073963046,0.08227373,-0.03775903,-0.055784665
7,0.08154984,-0.098654434,-0.34842518,0.26391852,0.05876689,0.043238558,-0.09970391,-0.09970787
8,0.12979496,-0.111852914,-0.3638303,0.27292556,0.0711364,0.0060318112,-0.104842275,-0.12945428
9,0.08859686,-0.1362688,-0.35908163,0.25638977,0.08089771,0.0388264,-0.10286204,-0.047919974
10,0.113868035,-0.13531573,-0.3541453,0.26528937,0.096139506,-0.0068385154,-0.12635961,-0.10028211
11,0.14251685,-0.10690975,-0.3920574,0.3384875,0.07202019,-0.06131415,-0.085218176,-0.10081578
12,0.15618518,-0.10310458,-0.3979506,0.32400647,0.030691162,-0.053251147,-0.0640811,-0.08453366
13,0.15746588,-0.08591392,-0.40793964,0.3717335,0.122869104,-0.07510005,-0.11153138,-0.13850226
14,0.12158075,-0.10823989,-0.3993717,0.33143157,0.08305948,-0.046094954,-0.09681943,-0.08731879
15,0.1048077,-0.11765165,-0.38355437,0.31178594,0.090351105,-0.034769535,-0.091016755,-0.06771288
16,0.13236785,-0.10226316,-0.4016205,0.34340978,0.085539944,-0.057961136,-0.102681994,-0.09901814
17,0.10191475,-0.10844433,-0.39711857,0.3148793,0.09234721,-0.024235494,-0.089953795,-0.062246546
18,0.13435562,-0.093251206,-0.39066207,0.35042772,0.10279252,-0.06793913,-0.10513957,-0.109516844
19,0.13906398,-0.09940321,-0.39304438,0.3420993,0.08619426,-0.061791867,-0.09185213,-0.106676236
20,0.07507807,-0.13657875,-0.30159593,0.24766843,0.0853233,0.10973557,-0.039256573,-0.04035682
21,0.0891699,-0.09963144,-0.35686857,0.3251955,0.09125113,0.023711078,-0.12362809,-0.12891538
22,0.09628523,-0.11181146,-0.37420094,0.26926112,0.09760657,0.054738514,-0.10076238,-0.09661256
23,0.13480046,-0.116849914,-0.37717098,0.28947687,0.10496007,0.01580882,-0.123209305,-0.13780524
24,0.08578718,-0.11742888,-0.36485595,0.2662208,0.088114485,0.06394939,-0.09939646,-0.0721955
25,0.1396807,-0.11858117,-0.39100665,0.3199635,0.057424556,-0.05736415,-0.08228249,-0.079200715
26,0.13743612,-0.086081125,-0.3901485,0.35690847,0.10090555,-0.0636207,-0.09599511,-0.11625204
27,0.1168081,-0.11673756,-0.3898883,0.3060704,0.0732022,-0.0311746,-0.07760508,-0.05436162
28,0.14288144,-0.08176634,-0.39227378,0.36829817,0.08830367,-0.05775407,-0.08338983,-0.121205054
29,0.15267137,-0.098526224,-0.4062435,0.3377846,0.047457427,-0.055581406,-0.07547001,-0.093998164
30,0.14863895,-0.09440191,-0.39457524,0.35179466,0.070246786,-0.06074412,-0.07999424,-0.10906869
31,0.080410294,-0.13074757,-0.31711292,0.2562042,0.07653543,0.0952315,-0.034154475,-0.04967505
32,0.09615317,-0.10637048,-0.34640816,0.32383972,0.085929744,0.0069557503,-0.12423337,-0.1287131
33,0.11225164,-0.13244933,-0.36668485,0.2811408,0.09803352,0.01411102,-0.1356127,-0.119441316
34,0.08980816,-0.15031199,-0.30345923,0.22103035,0.10106595,0.095914416,-0.06505157,-0.05336763
35,0.08554434,-0.12468667,-0.32920593,0.31465906,0.09589798,0.013008751,-0.13242042,-0.114140555
36,0.10544092,-0.14036135,-0.33412737,0.22950275,0.07695114,0.06883547,-0.057163186,-0.061881214
37,0.097118944,-0.11335656,-0.32904124,0.30758262,0.091576405,0.017136738,-0.123912394,-0.1248799
