day,current_norm,temperature_norm,speed_rpm_norm,HI_raw,HI_smooth,HI_derivative
0,0.01766900790166813,0.0,0.0,0.008781889171501633,0.013978319426003511,0.00012762611102500564
1,0.012291483757682173,0.0,0.0,0.0061091402932185734,0.014105945537028517,0.00022138329257196873
2,0.01953467954345918,0.0,0.0,0.009709169394579442,0.014421086011147449,9.670267605909038e-05
3,0.027436347673397712,0.013888888888889284,0.0,0.020622276652545624,0.014299350889146698,7.154668558876157e-05
4,0.012291483757682173,0.0,0.0,0.0061091402932185734,0.014564179382324972,0.00019619193527749355
5,0.01262071992976295,0.0,0.0,0.006272777979643984,0.014691734759701685,0.00011612976309429215
6,0.028753292361720792,0.013888888888889284,0.0,0.021276827398247655,0.014796438908513556,0.00011511650418232367
7,0.021949078138718173,0.0,0.0,0.010909179095033084,0.014921967768066332,2.438893854785941e-05
8,0.011303775241439856,0.0,0.0,0.005618227233942064,0.014845216785609275,1.5804040364497673e-05
9,0.020522388059701482,0.0,0.0,0.010200082453855952,0.014953575848795328,0.00016593121889132978
10,0.011962247585601396,0.0,0.0,0.005945502606792996,0.015177079223391935,0.0002510408181780645
11,0.01218173836698859,0.0,0.0,0.0060545943977433625,0.015455657485151457,0.0001827052564209869
12,0.018656716417910432,0.0,0.0,0.009272802230778143,0.015542489736233909,7.907267280513487e-05
13,0.0,0.0,0.0,0.0,0.015613802830761726,7.904630957882974e-05
14,0.0018656716417910363,0.0,0.0,0.0009272802230778088,0.015700582355391568,0.0001622942810069316
15,0.01240122914837577,0.0,0.0,0.006163686188693673,0.01593839139277559,0.0002214701880904127
16,0.00866988586479367,0.0,0.0,0.004309125742538111,0.016143522731572393,0.0001433555266467535
17,0.020632133450395093,0.0,0.0,0.010254628349331107,0.016225102446069097,0.00014554410541684284
18,0.010206321334503943,0.0,0.0,0.005072768279190343,0.01643461094240608,0.00019791542077432327
19,0.0060359964881474965,0.0,0.0,0.003000024251134048,0.016620933287617743,0.00020593759346853278
20,0.03160667251975417,0.013888888888889284,0.0,0.02269502068060192,0.016846486129343145,0.00014715273003479933
21,0.01701053555750659,0.0,0.0,0.0084546137986507,0.01691523874768734,7.730561525120215e-05
22,0.019863915715539956,0.0,0.0,0.009872807081004964,0.01700109735984555,8.438066997259325e-05
23,0.007023705004389813,0.0,0.0,0.003490937310410558,0.017084000087632528,5.8459421641078244e-05
24,0.015035118525021943,0.0,0.0,0.007472787680097681,0.017118016203127705,0.00010988123717411112
25,0.021071115013169453,0.0,0.0,0.010472811931231785,0.01730376256198075,0.00018385098784433687
26,0.010206321334503943,0.0,0.0,0.005072768279190343,0.01748571817881638,0.00017515896354156936
27,0.023924495171202806,0.0,0.0,0.011891005213586048,0.01765408048906389,0.00016204228602964554
28,0.0155838454784899,0.0,0.0,0.007745517157473458,0.01780980275087567,9.502461925921593e-05
29,0.01854697102721685,0.0,0.0,0.009218256335302932,0.01784412972758232,5.591574864562479e-05
30,0.016132572431957856,0.0,0.0,0.008018246634849291,0.01792163424816692,0.00011304678661305106
31,0.03797190517998246,0.013888888888889284,0.0,0.025858682618161488,0.018070223300808423,0.00010439632557098476
32,0.021839332748024562,0.0,0.0,0.010854633199557928,0.01813042689930889,0.00010692204584528651
33,0.012949956101843713,0.0,0.0,0.006436415666069506,0.018284067392498996,0.00016454106864495326
34,0.029741000877963122,0.013888888888889284,0.0,0.02176774045752411,0.018459509036598796,0.00023728731161404976
35,0.012071992976294993,0.0,0.0,0.006000048502268207,0.018758642015727096,0.0002301828923890279
36,0.024912203687445136,0.013888888888889284,0.0,0.01936772105661677,0.01891987482137685,0.0001620055003652473
37,0.006145741878841093,0.0,0.0,0.003054570146609259,0.01908265301645759,0.0001555958678712381
38,0.011962247585601396,0.0,0.0,0.005945502606792996,0.019231066557119328,7.998207800868906e-05
39,0.025680421422300273,0.013888888888889284,0.0,0.01974954232494297,0.01924261717247497,8.013440757089971e-05
40,0.030618964003511842,0.013888888888889284,0.0,0.02220410762132541,0.019391335372261127,0.00014957429120078178
41,0.02600965759438105,0.013888888888889284,0.0,0.019913180011368492,0.019541765754876532,0.0002570408844572193
42,0.02370500438981564,0.0,0.0,0.011781913422635737,0.019905417141175566,0.00024994031503863985
43,0.022388059701492533,0.0,0.0,0.01112736267693376,0.02004164638495381,0.00014516465333805524
44,0.012291483757682173,0.0,0.0,0.0061091402932185734,0.020195746447851676,0.00014695541540780087
45,0.019205443371378403,0.0,0.0,0.009545531708153976,0.020335557215769413,8.868592418297475e-05
46,0.021839332748024562,0.0,0.0,0.010854633199557928,0.020373118296217626,0.00013903633992696195
47,0.03544776119402983,0.013888888888889284,0.0,0.02460412702223269,0.020613629895623337,0.00023191637370741612
48,0.029411764705882346,0.013888888888889284,0.0,0.021604102771098588,0.020836951043632458,0.00022282789626049473
49,0.011194029850746273,0.0,0.0,0.005563681338466853,0.021059285688144327,0.00016214990610623377
50,0.029850746268656705,0.013888888888889284,0.0,0.021822286352999265,0.021161250855844926,0.00017099750470144816
51,0.023814749780509223,0.0,0.0,0.011836459318110948,0.021401280697547223,0.00013314956690018212
52,0.021619841966637396,0.0,0.0,0.010745541408607617,0.02142754998964529,0.00011707311671732383
53,0.033143107989464446,0.013888888888889284,0.0,0.02345866321725426,0.02163542693098187,0.00026230377152835355
54,0.03709394205443371,0.013888888888889284,0.0,0.02542231545436019,0.021952157532701997,0.00020511393860717791
