day,current_norm,temperature_norm,friction_torque_norm,speed_rpm_norm,HI_raw,HI_smooth,HI_derivative
0,0.00046638683456591556,0.0,0.0,0.0,0.0,0.009119648907139875,0.0016993828464911577
20,0.0,0.0,0.0029153569276372526,0.0,0.0008166113693329757,0.010819031753631032,0.0013478231793940063
40,0.007129055899793457,0.008333333333333304,0.00586328767569505,0.0,0.006954262179880322,0.011815295265927887,0.001227897089376622
60,0.01472449863415283,0.01666666666666705,0.008827505333963093,0.0,0.013252779921894442,0.013274825932384276,0.0013409311270559249
80,0.008328336331534403,0.008333333333333304,0.011808009902441408,0.0,0.009336064804547572,0.014497157520039737,0.0012064740951319838
100,0.011326537410886794,0.008333333333333304,0.014804801381129981,0.0,0.011334499465479153,0.015687774122648244,0.0013352472802641638
120,0.02405223532547139,0.02499999999999991,0.017834166680239086,0.0,0.02214332460884466,0.017167652080568065,0.0012136187788925994
140,0.022719701512425874,0.02499999999999991,0.020879818889558463,0.0,0.022714711679069133,0.018115011680433443,0.0017477071002170996
160,0.019188486907855296,0.01666666666666705,0.023958044919298357,0.0,0.019785403364302734,0.020663066281002264,0.0027691452905188527
180,0.02765007662069424,0.02499999999999991,0.027036270949038252,0.0,0.026410601930491773,0.023653302261471148,0.0028191455633510467
200,0.025451395829169166,0.02499999999999991,0.030163357709408936,0.0,0.026720473396594335,0.026301357407704357,0.00268425486159311
220,0.02851622359917383,0.02499999999999991,0.033290444469779634,0.0,0.02878455675134184,0.029021811984657368,0.002861447888624054
240,0.03544539942701044,0.033333333333333215,0.03645010505057085,0.0,0.034926187575605894,0.032024253184952466,0.0029777705218664383
260,0.02711706309547604,0.02499999999999991,0.039626052541572324,0.0,0.030430686478683355,0.034977353028390244,0.00302736563956393
280,0.03131454460656939,0.033333333333333215,0.04281828694278407,0.0,0.03567276440796352,0.038078984464080326,0.0029545262631584662
300,0.04077553467919248,0.04166666666666652,0.04604309516441635,0.0,0.04267991509589736,0.04088640555470718,0.00311030711975838
320,0.041575054967019784,0.04166666666666652,0.0492841902962589,0.0,0.04402703422714521,0.044299598703597086,0.003063943992190947
340,0.05190219201812245,0.050000000000000266,0.052557859248521965,0.0,0.051339143999236614,0.04701429353908907,0.002940543785537788
360,0.04870411086681324,0.050000000000000266,0.05584781511099529,0.0,0.05137024160867898,0.05018068627467266,0.003315510424854895
380,0.04930375108268373,0.050000000000000266,0.059170344793889135,0.0,0.052677897273608054,0.05364531438879886,0.003247929070963742
400,0.06795922446532081,0.06666666666666643,0.06250916138699328,0.0,0.06556616470850585,0.056676544416600146,0.0034715065004685235
420,0.06229595575987741,0.05833333333333357,0.06586426489030764,0.0,0.06201860694784489,0.06058832738973591,0.003746825691784899
440,0.06722633086814579,0.06666666666666643,0.06925194221404257,0.0,0.06757010744876168,0.06417019580016994,0.0035349925182250677
460,0.06269571590379107,0.05833333333333357,0.07265590644798775,0.0,0.06441632962737942,0.06765831242618604,0.0035048781458581826
480,0.07082417216336866,0.06666666666666643,0.07609244450235345,0.0,0.07104997169476457,0.07117995209188631,0.003700893002244847
500,0.07775334799120527,0.07499999999999973,0.07954526946692941,0.0,0.07728935034910867,0.07506009843067574,0.0037477038347597524
520,0.07448864014924379,0.07499999999999973,0.08303066825192593,0.0,0.077363407964824,0.07867535976140581,0.0035890045656028144
540,0.08614831101339197,0.08333333333333348,0.08653235394713268,0.0,0.0851956481025839,0.08223810756188137,0.0035081354188809255
560,0.0844826437470851,0.08333333333333348,0.09006661346275999,0.0,0.08581892215404013,0.08569163059916766,0.0034395498106130906
580,0.08967952561796257,0.09166666666666679,0.09361715988859753,0.0,0.09151354786012267,0.08911720718310755,0.0035057815717257357
600,0.09154507295622628,0.09166666666666679,0.0972002801348556,0.0,0.09332998954694888,0.09270319374261914,0.003551394205756661
620,0.10826837230994739,0.10833333333333295,0.10079968729132396,0.0,0.10566119274228858,0.09621999559462087,0.003508979028015613
640,0.10193883669798122,0.10000000000000009,0.10443166826821282,0.0,0.10198390023890003,0.09972115179865036,0.0035649012255873982
660,0.10000666266906523,0.10000000000000009,0.10807993615531197,0.0,0.10255636648026606,0.10334979804579567,0.003851111812766539
680,0.11373176094343394,0.1166666666666667,0.11176077786283165,0.0,0.11391548723051398,0.10742337542418344,0.0038493357899469505
700,0.10653607835298819,0.10833333333333295,0.11547419339077183,0.0,0.10997667912300324,0.11104846962568957,0.003776978909039927
720,0.11786261576387501,0.1166666666666667,0.1192038958289223,0.0,0.11777391928192377,0.1149773332422633,0.003807118564299501
740,0.11006729295755881,0.10833333333333295,0.12296617208749328,0.0,0.11365155555540352,0.11866270675428857,0.0036398724954875145
760,0.11719634885735226,0.1166666666666667,0.12674473525627453,0.0,0.12006615855117758,0.12225707823323832,0.00339570122179373
780,0.12912252648410955,0.125,0.13055587224547632,0.0,0.12809039780914305,0.12545410919787603,0.003439516558098661
800,0.13585182223998937,0.1333333333333333,0.1343995830550986,0.0,0.1343934912622528,0.12913611134943564,0.004052279598461314
820,0.13665134252781663,0.1333333333333333,0.1382595807749312,0.0,0.13594696692366948,0.13355866839479866,0.004068338417540854
840,0.13904990339129858,0.14166666666666705,0.14215215231518427,0.0,0.1408230127860723,0.13727278818451735,0.0037193735475359313
860,0.1419814777799987,0.14166666666666705,0.14607729767585792,0.0,0.14310877702847685,0.14099741548987052,0.0038745207710536855
880,0.13964954360716902,0.14166666666666705,0.15003501685695206,0.0,0.14365119025224532,0.14502182972662472,0.004225855520159014
900,0.14764474648544207,0.1499999999999999,0.15400902294825647,0.0,0.15041962624721647,0.14944912653018855,0.004278782221520824
920,0.15297488173762414,0.1499999999999999,0.15801560285998145,0.0,0.15353193036073456,0.15357939416966637,0.004124612734512201
940,0.16510093943633825,0.16666666666666652,0.16203846968191665,0.0,0.1644721651153483,0.15769835199921295,0.004120440314724597
960,0.16536744619894733,0.16666666666666652,0.1660939103242724,0.0,0.16591316428657574,0.16182027479911557,0.004260907602820302
980,0.15823839029915382,0.15833333333333321,0.17018192478704866,0.0,0.1621214613979476,0.16622016720485355,0.004115849480868544
1000,0.17342927576787265,0.17500000000000027,0.17430251307024544,0.0,0.17411571859648256,0.17005197376085265,0.003986458281795405
1020,0.17382903591178628,0.17500000000000027,0.17845567517386277,0.0,0.17563371080529733,0.17419308376844436,0.0043649504488841445
1040,0.17642747684722504,0.17500000000000027,0.18262512418769036,0.0,0.17788990550386694,0.17878187465862094,0.004591260362811225
1060,0.1874875074955027,0.18333333333333357,0.1868271470219385,0.0,0.1857558074227949,0.1833756044940668,0.004396240509853766
1080,0.19395029648877343,0.19166666666666643,0.19106174367660714,0.0,0.1921004104608899,0.18757435567832847,0.004031591450050109
1100,0.19768139116530087,0.19999999999999973,0.19532891415169626,0.0,0.19754546060400102,0.19143878739416703,0.0038607507857861406
