day,cluster
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,0
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,0
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,1
76,0
77,0
78,2
79,2
80,2
81,2
82,0
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,0
107,2
108,2
109,2
110,2
111,2
112,2
113,1
114,0
115,2
116,2
117,0
118,0
119,2
120,2
121,2
122,2
123,0
124,0
125,1
126,0
127,0
128,0
129,2
130,2
131,2
132,2
133,2
134,2
135,0
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,0
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,0
157,2
158,2
159,0
160,2
161,0
162,0
163,2
164,0
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,1
180,2
181,0
182,0
183,0
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,0
206,0
207,2
208,2
209,1
210,0
211,1
212,0
213,0
214,2
215,2
216,2
217,2
218,2
219,2
220,1
221,0
222,1
223,1
224,1
225,0
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,1
235,2
236,0
237,1
238,0
239,0
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,0
249,2
250,2
251,1
252,0
253,0
254,0
255,0
256,0
257,2
258,0
259,2
260,2
261,2
262,1
263,1
264,0
265,0
266,1
267,2
268,2
269,2
270,2
271,2
272,0
273,2
274,2
275,0
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,0
284,1
285,1
286,1
287,0
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,0
324,0
325,0
326,1
327,0
328,0
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,0
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,0
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,2
374,2
375,2
376,0
377,2
378,1
379,0
380,0
381,0
382,0
383,2
384,2
385,2
386,2
387,0
388,0
389,2
390,0
391,0
392,2
393,1
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,2
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,1
414,0
415,0
416,0
417,2
418,0
419,2
420,0
421,2
422,2
423,0
424,2
425,2
426,2
427,0
428,2
429,0
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,0
440,0
441,2
442,2
443,0
444,2
445,0
446,2
447,2
448,2
449,2
450,2
451,0
452,0
453,0
454,2
455,2
456,2
457,2
458,2
459,2
460,1
461,0
462,0
463,0
464,0
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,1
474,1
475,1
476,0
477,2
478,1
479,0
480,0
481,0
482,1
483,0
484,2
485,2
486,2
487,2
488,1
489,0
490,0
491,0
492,2
493,2
494,0
495,2
496,2
497,2
498,2
499,2
500,0
501,0
502,0
503,0
504,0
505,0
506,2
507,2
508,2
509,2
510,2
511,2
512,2
513,2
514,2
515,0
516,2
517,2
518,2
519,2
520,2
521,0
522,2
523,2
524,2
525,2
526,2
527,0
528,2
529,2
530,0
531,0
532,0
533,2
534,2
535,2
536,2
537,2
538,0
539,2
540,0
541,2
542,0
543,0
544,1
545,1
